7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5
121.09,130.17,131.26,139.03,144.68,151.62,162.36,168.60,171.82,173.25,175.31,175.50
50,50,50,50,50,50,50,50,50,50,50,50
6.83,5.18,5.95,7.64,7.11,8.77,8.65,4.90,6.53,6.28,5.54,5.64
