6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5
119.92,125.25,130.46,135.70,140.76,146.92,153.65,161.08,166.06,169.09,171.43,172.09,171.96
3401,4203,4456,4235,3880,3689,3400,2808,2811,2134,2078,1417,402
5.18,5.69,5.73,6.01,6.67,7.76,8.56,8.15,7.17,6.65,6.28,6.17,6.31
