7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5
128.52,134.84,140.36,145.79,152.01,158.58,165.47,170.12,172.55,174.50,174.00
74,72,100,100,98,99,100,100,81,100,99
4.51,4.32,5.89,5.94,7.50,7.47,6.83,7.04,6.22,5.41,5.93
