7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5
129.22,134.96,139.65,144.10,152.47,158.46,165.62,170.62,173.61,174.89,175.85
300,300,300,300,300,300,300,300,300,300,300
5.41,5.86,5.65,6.20,7.11,7.85,7.40,5.97,5.72,5.55,5.74
