6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5
119.07,124.08,129.59,135.40,142.20,148.83,153.38,156.44,158.10,159.46,160.27,160.77,160.26
3226,3832,4205,4027,3375,3339,2974,2469,2495,2010,1959,1542,283
5.05,5.43,5.84,6.39,7.23,7.25,6.58,5.81,5.66,5.70,5.58,5.57,5.48
